Month,Weekday,Date,EUR,JPY,BGN,CZK,DKK,GBP,HUF,PLN,RON,SEK,CHF,NOK,TRY,AUD,BRL,CAD,CNH,HKD,IDR,KRW,MXN,MYR,NZD,PHP,SGD,THB,ZAR,INR
1,2,2024-01-22,1.089,147.7961433,1.795959596,22.73461892,6.848943985,1.272567923,352.3232323,4.007346189,4.570798898,10.42653811,0.868503214,10.50596878,30.24251607,0.659200969,4.934618916,1.34251607,7.194582185,7.817263545,15680.30303,1339.017447,17.07043159,4.726538108,0.611797753,56.26538108,1.341230487,35.63544536,19.17777778,83.13177227
1,6,2024-01-19,1.0887,148.0389455,1.796454487,22.79140259,6.84991274,1.268511506,350.4454854,4.006429687,4.572058418,10.45283365,0.86883439,10.48038946,30.19252319,0.659818182,4.908974006,1.346192707,7.191237255,7.819233949,15607.44925,1333.691559,17.12997153,4.717461192,0.611697944,55.9897125,1.340957105,35.4597226,19.00358225,83.07936071
1,5,2024-01-18,1.0875,147.9448276,1.798436782,22.74390805,6.857103448,1.267881501,351.2643678,4.045057471,4.576735632,10.44965517,0.867310345,10.52505747,30.14804598,0.655950299,4.924229885,1.349977011,7.193655172,7.821793103,15610.15172,1338.666667,17.18252874,4.717977011,0.610886417,55.84,1.344275862,35.5954023,18.93977011,83.15356322
1,4,2024-01-17,1.0877,147.6969753,1.798106095,22.75903282,6.85722166,1.267449719,350.1516962,4.044589501,4.574331157,10.47393583,0.864760504,10.51163005,30.13726211,0.655556895,4.934540774,1.351567528,7.195182495,7.824767859,15630.44957,1345.141123,17.28914223,4.717477246,0.611789189,55.91523398,1.343660936,35.5097913,19.06141399,83.13551531
1,3,2024-01-16,1.0882,146.7009741,1.797279912,22.70722294,6.853703363,1.264202235,348.6123874,4.031428046,4.572964529,10.40387796,0.860227899,10.41490535,30.10696563,0.660155302,4.887336887,1.347270722,7.189579121,7.825767322,15609.15273,1336.996876,17.03639037,4.691968388,0.615462926,55.99981621,1.340654291,35.39974269,18.88696931,83.09593825
1,2,2024-01-15,1.0945,145.8839653,1.786934673,22.5801736,6.814984011,1.271565495,346.898127,3.985838282,4.544814984,10.30424852,0.854362723,10.33714025,30.10004568,0.665389993,4.872818639,1.342622202,7.174874372,7.82083143,15561.09639,1322.019187,16.89346734,4.669529466,0.619096103,55.79990863,1.334033805,34.9675651,18.66697122,82.86706259
1,6,2024-01-12,1.0942,145.4670079,1.787424602,22.56351672,6.814567721,1.273065736,346.6916469,3.987205264,4.544964358,10.29062329,0.854505575,10.3057028,30.09550356,0.66821374,4.87196125,1.337415463,7.169713032,7.82297569,15570.59952,1314.869311,16.90102358,4.647505027,0.62340474,55.83257174,1.332754524,35.09961616,18.68104551,82.92359715
1,5,2024-01-11,1.0987,145.3627014,1.780103759,22.44379721,6.786930008,1.275407743,344.7983981,3.958314372,4.525530172,10.19113498,0.849913534,10.31063985,29.99699645,0.671207771,4.879038864,1.335851461,7.158368982,7.818239738,15550.00455,1314.635478,16.99171748,4.646036225,0.625078227,55.98980613,1.328843178,34.99499408,18.59752435,83.01538181
1,4,2024-01-10,1.0946,145.2859492,1.786771423,22.43924721,6.81363055,1.272450391,345.6513795,3.965832267,4.543029417,10.22930751,0.852914307,10.31564042,29.97323223,0.670135913,4.888361045,1.338297095,7.169376941,7.82039101,15560.14983,1318.99324,16.9909556,4.641512881,0.623100131,56.26987027,1.331353919,35.02466654,18.64964371,83.02165174
1,3,2024-01-09,1.094,144.0859232,1.787751371,22.48080439,6.81691042,1.273010775,346.2797075,3.971480804,4.544424132,10.24817185,0.851279707,10.33638026,29.93903108,0.669563621,4.888025594,1.335740402,7.164625229,7.815265082,15545.14625,1318.665448,16.86599634,4.643510055,0.624215451,56.04021938,1.330621572,34.96526508,18.68190128,83.10740402
